episode,reward,avg_reward_10,loss,epsilon,steps,method
1,-225.60843489089473,-225.60843489089473,0.3727864970763524,0.995,102,double_dqn
2,-122.48452912340082,-174.04648200714777,0.8225530783941106,0.990025,82,double_dqn
3,-235.58109505229123,-194.55801968886226,1.1262164277569302,0.985074875,106,double_dqn
4,-146.99823082832717,-182.6680724737285,1.186609070201715,0.9801495006250001,75,double_dqn
5,-260.48937952451877,-198.23233388388655,1.1521013919452223,0.9752487531218751,99,double_dqn
6,-106.909207253247,-183.01181277877996,1.2595324967358563,0.9703725093562657,74,double_dqn
7,-108.32790477100929,-172.34268306338416,0.9182160532255785,0.9655206468094844,109,double_dqn
8,-121.44445388654663,-165.98040441627947,1.0336798349661487,0.960693043575437,126,double_dqn
9,-14.598547563793474,-149.16019809933658,1.2328477608707715,0.9558895783575597,106,double_dqn
10,-207.99874791587152,-155.04405308099007,1.3246617709409516,0.9511101304657719,106,double_dqn
11,-100.16986258402966,-142.50019585030356,1.9238108886826424,0.946354579813443,62,double_dqn
12,-127.22697137264103,-142.9744400752276,1.3666277455561089,0.9416228069143757,99,double_dqn
13,-85.77399832396077,-127.9937304023945,1.3925026672021035,0.9369146928798039,62,double_dqn
14,-109.11895199560584,-124.20580251912239,1.539591594118821,0.9322301194154049,95,double_dqn
15,-62.47579651316629,-104.40444421798716,1.3997267743702544,0.9275689688183278,86,double_dqn
16,-281.8589307154954,-121.89941656421198,1.6606781287835195,0.9229311239742362,91,double_dqn
17,-261.2001106858456,-137.18663715569562,1.3184504564851522,0.918316468354365,84,double_dqn
18,-288.92727028863226,-153.9349187959042,1.4889366427033217,0.9137248860125932,97,double_dqn
19,-191.11794257439652,-171.5868582969645,1.352962155919522,0.9091562615825302,80,double_dqn
20,-113.84162082109764,-162.17114558748708,1.3456197737478743,0.9046104802746175,102,double_dqn
21,-101.76870690489599,-162.33103001957372,1.5964714224849428,0.9000874278732445,84,double_dqn
22,-203.10172924318226,-169.91850580662785,1.4284453196685856,0.8955869907338783,119,double_dqn
23,-73.39398616986354,-168.68050459121815,1.3887692602475483,0.8911090557802088,75,double_dqn
24,-186.2600980048822,-176.39461919214577,1.471356150092958,0.8866535105013078,79,double_dqn
25,-145.1941546097662,-184.66645500180576,1.448755849375684,0.8822202429488013,117,double_dqn
26,-64.82967964538942,-162.96352989479516,1.431755802074036,0.8778091417340573,77,double_dqn
27,-148.559395805343,-151.6994584067449,1.4073410454121502,0.8734200960253871,88,double_dqn
28,-61.77071164502401,-128.98380254238407,1.378507172283919,0.8690529955452602,115,double_dqn
29,-75.36246711701602,-117.40825499664602,1.2576122510891694,0.8647077305675338,130,double_dqn
30,-108.43631552726869,-116.86772446726313,1.3938633637263043,0.8603841919146962,101,double_dqn
31,-80.96032342455666,-114.78688611922921,1.3986445298912573,0.8560822709551227,98,double_dqn
32,-219.26351259059817,-116.4030644539708,1.483510351573774,0.851801859600347,129,double_dqn
33,-118.942593630773,-120.95792520006174,1.3598146348983258,0.8475428503023453,143,double_dqn
34,-111.0981848333019,-113.44173388290372,1.1757471028301452,0.8433051360508336,90,double_dqn
35,-100.77239755851657,-108.99955817777875,1.3923491100284542,0.8390886103705794,107,double_dqn
36,-106.61853778694336,-113.17844399193413,1.376411123331203,0.8348931673187264,86,double_dqn
37,-90.68054460101932,-107.39055887150178,1.4659773559914422,0.8307187014821328,97,double_dqn
