episode,reward,avg_reward_10,loss,epsilon,steps,method
1,-225.60843489089473,-225.60843489089473,0.342042197783788,0.995,102,dueling_ddqn
2,-122.48452912340082,-174.04648200714777,0.8245862646073829,0.990025,82,dueling_ddqn
3,-235.58109505229123,-194.55801968886226,1.088569293185225,0.985074875,106,dueling_ddqn
4,-146.99823082832717,-182.6680724737285,1.1176210543513299,0.9801495006250001,75,dueling_ddqn
5,-260.48937952451877,-198.23233388388655,0.9315976696182983,0.9752487531218751,99,dueling_ddqn
6,-106.909207253247,-183.01181277877996,1.1429134836873494,0.9703725093562657,74,dueling_ddqn
7,-108.32790477100929,-172.34268306338416,0.860321079372266,0.9655206468094844,109,dueling_ddqn
8,-121.44445388654663,-165.98040441627947,0.9491326185978122,0.960693043575437,126,dueling_ddqn
9,-14.598547563793474,-149.16019809933658,1.0600071563473288,0.9558895783575597,106,dueling_ddqn
10,-207.99874791587152,-155.04405308099007,1.2292314232239183,0.9511101304657719,106,dueling_ddqn
11,-100.16986258402966,-142.50019585030356,1.6119718217561323,0.946354579813443,62,dueling_ddqn
12,-128.53147608311542,-143.10489054627504,1.141983547558387,0.9416228069143757,96,dueling_ddqn
13,-324.87156687334436,-152.0339377283803,1.1179444059019996,0.9369146928798039,105,dueling_ddqn
14,-105.49178715488998,-147.8832933610366,1.2222351446563815,0.9322301194154049,81,dueling_ddqn
15,-79.43326063563325,-129.77768147214806,1.1944003923647646,0.9275689688183278,69,dueling_ddqn
16,-315.9000549311503,-150.6767662399384,1.2516727385724462,0.9229311239742362,82,dueling_ddqn
17,-261.2001106858456,-165.963986831422,0.9694578892418316,0.918316468354365,84,dueling_ddqn
18,-288.92727028863226,-182.71226847163058,1.0489881911996715,0.9137248860125932,97,dueling_ddqn
19,-205.99078375006718,-201.85149209025798,1.1849462533369661,0.9091562615825302,80,dueling_ddqn
20,-113.84162082109764,-192.4357793807806,1.120627273604566,0.9046104802746175,102,dueling_ddqn
21,-75.59197991333582,-189.97799111371117,1.330687119479639,0.9000874278732445,83,dueling_ddqn
22,-41.063746572410025,-181.23121816264066,1.2580899966673718,0.8955869907338783,72,dueling_ddqn
23,-225.66027725172341,-171.31008920047856,1.199254747733329,0.8911090557802088,103,dueling_ddqn
24,8.97084452259125,-159.86382603273043,1.193098715383489,0.8866535105013078,106,dueling_ddqn
25,-125.89071412478278,-164.50957138164537,1.2537292021044184,0.8822202429488013,89,dueling_ddqn
26,-110.7338142993593,-143.99294731846626,1.287218498194526,0.8778091417340573,116,dueling_ddqn
27,-223.27990561189958,-140.20092681107164,1.2904368146426148,0.8734200960253871,108,dueling_ddqn
28,-133.39423325432654,-124.64762310764111,1.24770390367744,0.8690529955452602,101,dueling_ddqn
29,-79.85946753240717,-112.03449148587511,1.3677363774993203,0.8647077305675338,77,dueling_ddqn
30,-167.43435959610832,-117.39376536337618,1.4119536688694587,0.8603841919146962,65,dueling_ddqn
31,-185.96311459680032,-128.43087883172262,1.2868183291068784,0.8560822709551227,108,dueling_ddqn
32,-71.60995632547835,-131.48549980702947,1.147131936562558,0.851801859600347,120,dueling_ddqn
33,-152.6885981367996,-124.18833189553706,1.254057468115529,0.8475428503023453,79,dueling_ddqn
34,-45.101332764272485,-129.59554962422345,1.117630460896553,0.8433051360508336,78,dueling_ddqn
35,-140.81905302472092,-131.08838351421724,1.0178592827038042,0.8390886103705794,112,dueling_ddqn
36,-156.70854950095998,-135.68585703437734,1.0209509639867715,0.8348931673187264,84,dueling_ddqn
37,-178.60075052694276,-131.21794152588163,1.0561056213689521,0.8307187014821328,71,dueling_ddqn
38,-58.05033935834667,-123.68355213628365,1.1517768596769662,0.8265651079747222,93,dueling_ddqn
39,-85.53536859003401,-124.25114224204636,1.2420580567263846,0.8224322824348486,67,dueling_ddqn
40,-123.87746595891065,-119.89545287832657,1.3429457287530642,0.8183201210226743,111,dueling_ddqn
41,-98.91922871994,-111.19106429064054,1.0290968255183408,0.8142285204175609,107,dueling_ddqn
42,-108.97360668968466,-114.92742932706116,0.9764600575734408,0.810157377815473,78,dueling_ddqn
43,-26.35677211856047,-102.29424672523726,0.8600420600010289,0.8061065909263957,108,dueling_ddqn
44,-135.32153331719127,-111.31626678052915,1.0355895422399044,0.8020760579717637,140,dueling_ddqn
45,-118.0766668806136,-109.0420281661184,0.9603311080662977,0.798065677681905,84,dueling_ddqn
46,-148.5411367034578,-108.2252868863682,1.0187781011381893,0.7940753492934954,141,dueling_ddqn
47,-65.18622092640707,-96.88383392631462,0.936266330455927,0.7901049725470279,133,dueling_ddqn
48,-169.40002734741398,-108.01880272522135,1.0205767376082284,0.7861544476842928,105,dueling_ddqn
49,-104.7450800359475,-109.93977386981268,0.7292549793082889,0.7822236754458713,101,dueling_ddqn
50,-80.93860464952748,-105.64588773887438,0.831214213269014,0.778312557068642,102,dueling_ddqn
51,-262.7734720700326,-122.03131207388364,1.0844282327205177,0.7744209942832988,127,dueling_ddqn
52,-80.02720679242202,-119.13667208415738,1.1237562975610595,0.7705488893118823,83,dueling_ddqn
53,-77.15720556336389,-124.21671542863774,0.9771868035003737,0.7666961448653229,154,dueling_ddqn
54,-46.692533144603374,-115.35381541137895,0.906052805365078,0.7628626641409962,126,dueling_ddqn
55,-244.5495088084077,-128.00109960415833,0.9798504211822477,0.7590483508202912,119,dueling_ddqn
56,-101.91256044289935,-123.33824197810247,0.9553222578905878,0.7552531090661897,105,dueling_ddqn
57,-72.05955001183891,-124.02557488664566,0.863635546217362,0.7514768435208588,102,dueling_ddqn
58,-93.32809700160529,-116.41838185206481,1.0648858897269717,0.7477194593032545,63,dueling_ddqn
59,-87.84213407253175,-114.72808725572324,0.8766203418876348,0.7439808620067382,89,dueling_ddqn
60,-69.89254211543506,-113.62348100231402,0.9225685356805722,0.7402609576967045,120,dueling_ddqn
61,-57.294557826642816,-93.07558957797502,1.1279636031725038,0.736559652908221,142,dueling_ddqn
62,-55.97569763483091,-90.6704386622159,1.0916664969202474,0.7328768546436799,141,dueling_ddqn
63,-75.63559235250182,-90.51827734112969,1.0115518592298032,0.7292124703704616,100,dueling_ddqn
64,-84.80463465182673,-94.32948749185203,1.0251209032886168,0.7255664080186093,85,dueling_ddqn
65,-213.9571216194837,-91.27024877295963,1.0308484055840217,0.7219385759785162,111,dueling_ddqn
66,-102.0635637726865,-91.28534910593835,1.0405051974455515,0.7183288830986236,75,dueling_ddqn
67,-80.02196826155975,-92.08159093091044,0.9932339014422974,0.7147372386831305,149,dueling_ddqn
